'Day fraction since midnight on' 	'photometer (mg/L)'	Source pressure (Pa)	air valve control ()	Max calibration pressure (Pa)	source pressure (Pa)	Max calibration pressure ()	Delta P ()	air flow rate(R * T )/ V ()	Fill time (s)	air fill model (Pa)
0.590659713	3.118511677	113956.6641	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.590671285	3.102032661	113956.6641	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.59068286	3.129258156	113956.6641	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.590694437	3.124762774	113956.6641	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.590706005	3.152942419	113956.6641	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.59071758	3.151701689	113940	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.590729153	3.188277483	113940	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.590740727	3.195472956	113940	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.590752314	3.165513754	113940	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.590763875	3.144631863	113940	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.590775448	3.14138484	113930.9688	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.590787019	3.122162819	113930.9688	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.590798607	3.14797473	113930.9688	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.59081017	3.14457202	113930.9688	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.590821751	3.140979767	113930.9688	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.590833333	3.122496605	113934.5469	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.590844888	3.129124403	113934.5469	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.590856458	3.115977287	113934.5469	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.590868039	3.136099339	113934.5469	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.590879605	3.135173321	113934.5469	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.590891177	3.146606207	113919.5156	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.590902757	3.148960352	113919.5156	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.590914338	3.127107382	113919.5156	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.590925899	3.137486458	113919.5156	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.590937473	3.137543917	113919.5156	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.590949047	3.145855427	113947.0156	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.590960639	3.127447605	113947.0156	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.590972192	3.127391338	113947.0156	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.590983769	3.118604183	113947.0156	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.590995363	3.114878655	113947.0156	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.591006916	3.104023218	113910.9219	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.591018502	3.116995335	113910.9219	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.591030066	3.106478453	113910.9219	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.591041652	3.1213305	113910.9219	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.591053226	3.102024078	113910.9219	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.59106478	3.104957104	113916.4688	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.591076355	3.138942957	113916.4688	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.591087948	3.113878727	113916.4688	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.591099504	3.099935055	113916.4688	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.591111085	3.097370386	113916.4688	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.591122659	3.077394962	113919.3359	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.591134225	3.077729225	113919.3359	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.591145812	3.077942133	113919.3359	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.591157371	3.081681013	113919.3359	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.591168955	3.060726643	113919.3359	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.591180521	3.061937571	113892.8516	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.591192098	3.048315287	113892.8516	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.591203667	3.043467522	113892.8516	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.591215244	3.023998261	113892.8516	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.591226814	3.033537149	113892.8516	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.591238385	3.011967421	113903.9688	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.591249959	3.011384249	113903.9688	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.59126154	3.005413294	113903.9688	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.591273103	3.017824888	113903.9688	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.591284695	3.001940489	113903.9688	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.591296259	3.001251698	113906.0234	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.591307847	2.980526209	113906.0234	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.591319416	2.97939539	113906.0234	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.591330973	2.964148045	113906.0234	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.591342543	2.965719938	113906.0234	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.591354122	2.962761641	113904.3594	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.591365702	2.959718704	113904.3594	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.591377278	2.945900679	113904.3594	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.591388847	2.938820839	113904.3594	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.591400411	2.930454254	113904.3594	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.591411988	2.935448647	113901.75	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.591423566	2.927024365	113901.75	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.591435248	2.928514957	113901.75	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.591446716	2.925111532	113901.75	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.591458293	2.920326471	113901.75	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.59146985	2.905433178	113893.4297	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.591481435	2.909298897	113893.4297	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.591493008	2.905314446	113893.4297	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.591504574	2.915021658	113893.4297	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.591516161	2.900433302	113893.4297	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.591527728	2.90267539	113878.8203	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.591539297	2.898802519	113878.8203	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.591550872	2.905991077	113878.8203	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.591562572	2.896019697	113878.8203	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.591574026	2.897758007	113878.8203	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.591585706	2.879143715	113901.7656	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.591597175	2.879448891	113901.7656	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.59160874	2.873424053	113901.7656	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.591620431	2.888397217	113901.7656	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.591632005	2.877989054	113901.7656	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.591643459	2.882524014	113878.9297	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.591655155	2.86641407	113878.9297	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.591666617	2.867700577	113878.9297	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.591678311	2.858509064	113878.9297	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.591689875	2.865105152	113878.9297	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.591701439	2.855419159	113897.1953	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.591713012	2.862743139	113897.1953	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.591724477	2.848819733	113897.1953	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.591736048	2.859084845	113897.1953	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.591747733	2.854600906	113897.1953	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.59175932	2.853056192	113885.8516	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.591770891	2.838588238	113885.8516	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.591782343	2.841296911	113885.8516	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.591794031	2.831667662	113885.8516	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.59180562	2.836879015	113885.8516	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.591817173	2.835344553	113874.7891	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.591828767	2.836359024	113874.7891	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.591840335	2.827624321	113874.7891	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.591851909	2.829160452	113874.7891	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.591863469	2.823933601	113874.7891	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.591875058	2.828024864	113882.0625	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.591886632	2.825415373	113882.0625	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.591898189	2.828414679	113882.0625	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.591909757	2.8224895	113882.0625	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.591921332	2.827530623	113882.0625	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.591932917	2.820446253	113846.3203	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.591944483	2.822574616	113846.3203	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.591956054	2.816558123	113846.3203	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.591967626	2.819795847	113846.3203	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.591979099	2.813941002	113846.3203	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.591990774	2.816564322	113865.2813	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.592002359	2.808455467	113865.2813	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.592013923	2.812466145	113865.2813	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
