Day fraction since midnight on 	photometer (mg/L)	Source pressure (Pa)	air valve control ()	Max calibration pressure (Pa)	source pressure (Pa)	Max calibration pressure ()	Delta P ()	air flow rate(R * T )/ V ()	Fill time (s)	air fill model (Pa)
0.487065781	2.658931494	113484.9531	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.487077367	2.658955813	113484.9531	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.487088932	2.658988476	113484.9531	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.4871005	2.659003735	113484.9531	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.487112092	2.659096003	113484.9531	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.48712365	2.659040213	113491.3438	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.487135227	2.65913868	113491.3438	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.487146794	2.659160137	113491.3438	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.487158376	2.659285545	113491.3438	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.487169946	2.659302712	113491.3438	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.487181523	2.659438849	113483.8906	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.487193097	2.659492493	113483.8906	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.487204666	2.659639835	113483.8906	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.487216254	2.65969801	113483.8906	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.487227814	2.659858227	113483.8906	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.487239387	2.659929752	113495.0078	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.487250959	2.659998655	113495.0078	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.487262547	2.660111904	113495.0078	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.487274115	2.660222292	113495.0078	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.48728569	2.660198212	113495.0078	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.487297253	2.660274506	113478.5469	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.487308841	2.660470247	113478.5469	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.487320401	2.660612583	113478.5469	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.487331982	2.660517454	113478.5469	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.487343554	2.660662651	113478.5469	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.487355124	2.660762548	113486.0078	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.487366706	2.660939455	113486.0078	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.487378282	2.660768032	113486.0078	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.48738984	2.660994053	113486.0078	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.487401426	2.661039591	113486.0078	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.487412986	2.661126137	113478.2734	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.487424565	2.661061764	113478.2734	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.487436135	2.661434174	113478.2734	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.487447708	2.661329031	113478.2734	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.487459287	2.661235809	113478.2734	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
